person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Barbu Preda,barbupreda,barbupreda@post.ro,8040403466791,1917-04-18,"Drumul Nistor, Sovata, 100675",0785 986 238,46:8b:98:6b:05:ff,39.85.151.23,RO80EVQS5312367119800860,2025-06-22 22:40:03,11069,952,140,1080728,8b795965-7042-44ce-b3bf-313cb8eb6dc1
Robertina Popa,robertinapopa,robertinapopa@zzup.ro,1340227426312,2004-12-06,"Aleea Pop Nr. 69 Bl. 96  Sc. 43 Ap. 716, Galati, 885179",0245 715 298,4a:af:ba:6f:9f:22,91.200.168.219,RO70MJOS6510344579291625,2025-06-22 22:40:03,10877,42,499,75640,e8a746cd-aad4-4998-ae9c-2c79b1649928
Dina Florea,dinaflorea,dinaflorea@gmail.com,3880112029307,1936-12-30,"Drumul Anișoara Georgescu Nr. 821 Bl. 18  Sc. 46 Ap. 876, Vaslui, 391084",0242 490 890,d2:71:ea:02:24:76,113.191.15.149,RO44KGJU9311389439613305,2025-06-22 22:40:03,8652,202,160,1951306,1deffb2d-6daa-4f10-b7ca-3145fc4309f4
Ernest Preda,ernestpreda,ernestpreda@141.ro,5671006342295,1956-02-05,"Intrarea Lucian Gheorghiu, Topoloveni, 951535",0728 390 665,c0:29:35:3a:02:75,167.253.203.109,RO19WROF9579674941397916,2025-06-22 22:40:03,19690,191,466,407694,14ee1b82-394f-462a-9772-f6d55a7e2318
Sorana Mocanu,soranamocanu,soranamocanu@141.ro,7030613179136,1913-09-19,"Aleea Manole Nr. 395 Bl. 27  Sc. 78 Ap. 856, Slatina, 893468",0769 320 549,4a:50:15:37:29:83,61.112.30.46,RO78JTYQ0070485396699216,2025-06-22 22:40:03,2820,986,549,54720,c452585f-30bb-416a-8d98-fe1ccab38b9c
Carmina Niță,carminaniță,carminaniță@post.ro,7320807186561,1921-05-15,"Drumul Popescu Nr. 78, Baciu, 259823",0747 430 141,a6:d2:47:d8:aa:64,5.8.241.98,RO71HHSI6792357510781535,2025-06-22 22:40:03,30144,584,453,895531,43ebfa05-1306-4506-8ba5-0c11f263bad8
Romanița Toma,romanițatoma,romanițatoma@141.ro,4840516365905,1998-04-03,"Bulevardul Popescu, Talmaciu, 336541",0243 080 828,9a:68:30:37:71:8e,52.189.87.191,RO67YFTB2416166263571607,2025-06-22 22:40:03,30080,506,703,500893,8bc0e0fe-16d4-4ff6-ab8f-08d7b48624f2
Fiona Diaconescu,fionadiaconescu,fionadiaconescu@email.ro,6940430223570,1983-10-23,"Aleea Cătălina Manole, Corabia, 900857",0711 733 832,38:41:6f:49:a3:88,111.198.205.6,RO65WQGV9615226625013967,2025-06-22 22:40:03,2149,898,700,874036,3b765a69-52e3-4c7c-a5c9-9bc7035d832a
Clarisa Nemeș,clarisanemeș,clarisanemeș@email.ro,3650409032093,1914-02-14,"Intrarea Dochioiu, Odorheiu Secuiesc, 918616",0233 011 187,76:ae:e3:07:aa:b9,186.59.255.17,RO51ZQSS2804606752411571,2025-06-22 22:40:03,15620,367,369,1936051,33c84fbd-099b-41ea-b31a-ca786118d448
Adonis Barbu,adonisbarbu,adonisbarbu@kappa.ro,3290225370359,1972-01-02,"Bulevardul Amza Ababei Nr. 190 Bl. 62  Sc. 60 Ap. 833, Santana, 454664",0239 399 375,38:6c:eb:8a:85:65,10.57.132.162,RO16QXFA9471620305643100,2025-06-22 22:40:03,30051,24,325,1258905,ad942dc2-adf1-4b18-93bb-cdda8217e7c0
Profira Gheorghiu,profiragheorghiu,profiragheorghiu@141.ro,6440106166244,1924-12-03,"Soseaua Diaconescu Nr. 27, Bistrita, 149208",0760 426 548,6c:e7:ca:c8:f2:2f,16.243.51.250,RO55XQOE4640127320795802,2025-06-22 22:40:03,24051,356,256,963891,43c18b1a-da7d-426e-aeff-c47db675306f
Gabriela Ababei,gabrielaababei,gabrielaababei@acasa.ro,2960902413309,1978-06-28,"Soseaua Saveta Nistor, Remetea, 691125",0233 924 717,54:08:15:f0:7b:73,141.149.67.196,RO37MSDY1877613668189648,2025-06-22 22:40:03,17307,695,207,618038,0b835126-47e3-425b-ad42-2e850e5dc8f7
Cristobal Stancu,cristobalstancu,cristobalstancu@acasa.ro,2090526207283,1918-04-06,"Strada Sabin Voinea Nr. 496, Craiova, 623210",0247 881 710,4a:14:51:58:43:71,131.214.104.134,RO68JSNG7041846127377286,2025-06-22 22:40:03,3449,737,321,1878556,1460cef8-6942-4a00-a33e-3a77a94fe04b
Tinca Dochioiu,tincadochioiu,tincadochioiu@zzup.ro,2220225242699,1999-08-14,"Aleea Eftimie, Vlahita, 112027",0771 923 363,08:f1:61:71:4d:72,184.112.60.56,RO43MUID1573780671806621,2025-06-22 22:40:03,1137,935,586,443318,f48da647-3aef-48e1-a457-e5d5122f24f7
Carmen Nistor,carmennistor,carmennistor@post.ro,2901210197737,1910-07-01,"Soseaua Tabacu Nr. 349 Bl. 42  Sc. 22 Ap. 619, Moisei, 284266",0743 976 349,e6:27:3a:86:49:62,200.56.197.204,RO91IMLC9462489404598542,2025-06-22 22:40:03,12286,377,790,246889,662acffe-8126-44f3-bb14-04f86a4e6810
Aurelian Marin,aurelianmarin,aurelianmarin@email.ro,3340306173241,1938-11-21,"Soseaua Natalia Florea, Pascani, 647516",0736 565 493,a0:29:13:d3:70:62,63.120.37.105,RO32BKVB2412587054962274,2025-06-22 22:40:03,9130,399,274,1373839,aa93ba37-7ec4-41d4-95eb-30cef0e3bc6d
Matei Ionescu,mateiionescu,mateiionescu@141.ro,5951103077100,1998-10-27,"Intrarea Diaconescu Nr. 81 Bl. 76  Sc. 11 Ap. 525, Schela Cladovei, 980640",0753 559 305,e8:1f:58:ab:02:37,157.69.208.236,RO47UGFY9012444585941668,2025-06-22 22:40:03,9458,288,609,1511679,8d7cc1e4-6ed0-4d67-a43b-758ca518f7de
Liana Dima,lianadima,lianadima@kappa.ro,6720419397615,1982-05-11,"Drumul Erica Preda Nr. 57 Bl. 30  Sc. 21 Ap. 299, Sacueni, 888492",0749 523 382,98:93:aa:e5:0a:4b,77.124.150.73,RO14JQBC6567295859560694,2025-06-22 22:40:03,25978,710,717,663926,d95ef610-6190-437a-905b-751ab302c903
Cezar Tudor,cezartudor,cezartudor@141.ro,4950817196772,2003-08-19,"Bulevardul Aanei Nr. 29 Bl. 53  Sc. 87 Ap. 519, Sebis, 167698",0758 063 159,9e:7b:63:23:0c:fe,2.166.18.157,RO69RJGY8169099401922772,2025-06-22 22:40:03,25492,75,508,465139,ecd3d99a-e266-449b-9e24-d0031b54422f
Stelian Dinu,steliandinu,steliandinu@gmail.com,7500405066702,1969-08-04,"Soseaua Codruț Toma, Nadlac, 751084",0250 176 440,88:27:27:21:5b:37,135.181.5.219,RO25QOVR3218149132054504,2025-06-22 22:40:03,25882,771,44,424611,788a62a6-f2f9-4fbf-8d46-fc6d5e0428f2
Letiția Marin,letițiamarin,letițiamarin@kappa.ro,2530627136448,2020-01-08,"Bulevardul Ariadna Pop Nr. 435, Gugesti, 991062",0257 145 135,14:21:18:eb:6c:df,209.132.92.56,RO39RZCM0330857837449561,2025-06-22 22:40:03,19990,28,75,1507595,7afba22a-9f9b-4067-89b2-2fcb996e11fa
Ariadna Pușcașu,ariadnapușcașu,ariadnapușcașu@141.ro,3671228016318,1961-04-06,"Bulevardul Pușcașu Nr. 56, Balan, 161519",0754 447 543,dc:d6:ac:6a:08:8f,196.86.204.89,RO50WTGU2931511027692199,2025-06-22 22:40:03,2238,576,424,1413465,7fbb2e30-5b42-402d-89e3-1ef51dbca1fd
Otilia Barbu,otiliabarbu,otiliabarbu@gmail.com,5420617367606,1976-05-05,"Strada Emanuil Suciu Nr. 623 Bl. 42  Sc. 21 Ap. 761, Tulcea, 982923",0243 149 811,d2:e1:b5:96:da:25,66.118.25.176,RO77WADK0257045990408869,2025-06-22 22:40:03,26739,356,582,1784123,6ca26af5-39f9-4544-b504-20635a07090b
Paul Popa,paulpopa,paulpopa@zzup.ro,8770627363036,1990-08-01,"Intrarea Iolanda Dinu Nr. 354, Podu Iloaiei, 349073",0256 472 606,34:8c:a4:4a:94:88,167.158.162.75,RO13ALFV3647247968347788,2025-06-22 22:40:03,13513,834,16,1104923,ca60c023-0384-45c5-a55a-2d2146e39b82
Sava Voinea,savavoinea,savavoinea@kappa.ro,3030801392937,1979-02-09,"Intrarea Nistor Nr. 413, Baciu, 216067",0246 697 855,6e:aa:96:d1:7f:e9,122.202.252.6,RO86YMFA1176890958680794,2025-06-22 22:40:03,12267,862,251,1656299,68f36e1b-1199-4548-b4e2-96bd629ef64a
Silviana Tabacu,silvianatabacu,silvianatabacu@zzup.ro,2580728056090,1986-02-09,"Bulevardul Tudor Nr. 49 Bl. 92  Sc. 79 Ap. 301, Bals, 293976",0755 328 198,f4:18:ad:38:0e:6f,18.40.240.6,RO60SHRD6762179311065439,2025-06-22 22:40:03,5034,279,240,312630,2e2579ae-5563-456f-952d-d6c70bbcf568
Livia Ababei,liviaababei,liviaababei@kappa.ro,4891109290196,1961-02-16,"Soseaua Marcheta Stan, Tufesti, 166746",0758 406 410,ac:51:bd:96:f0:95,218.198.64.36,RO68AXLD7248323646892207,2025-06-22 22:40:03,26470,651,671,25936,ae567ed4-27ad-498b-9111-53c1b6008a59
Julia Ababei,juliaababei,juliaababei@141.ro,8470904299151,1937-09-27,"Drumul Aida Florea Nr. 325 Bl. 38  Sc. 83 Ap. 775, Moldova Veche, 385971",0764 881 835,08:f4:52:dc:b8:da,203.224.75.124,RO52KWIY7463920327860506,2025-06-22 22:40:03,17760,229,444,1012957,28721b55-baa5-41ef-a6ae-ca6e5880c0dc
Daniel Ene,danielene,danielene@kappa.ro,8970706180354,1957-04-04,"Bulevardul Niță Nr. 74, Adjud, 514577",0788 697 405,e2:e9:da:d0:05:4a,70.178.54.235,RO75NSDG3010512634437099,2025-06-22 22:40:03,35835,893,504,576026,0aaf26ae-f2cb-41b3-89b5-859a96faff0d
Alistar Eftimie,alistareftimie,alistareftimie@acasa.ro,8460901084836,1976-10-08,"Drumul Ivan Manole Nr. 54, Giroc, 587094",0764 964 598,da:e8:46:26:4f:62,55.30.214.138,RO05DHCY3409010656423948,2025-06-22 22:40:03,22392,461,213,192973,4eeb7433-88f6-49bc-a12b-60fc6afa20b9
Rodica Stan,rodicastan,rodicastan@zzup.ro,3820624064235,2019-11-16,"Soseaua Octavia Eftimie Nr. 54, Vulcan, 535631",0234 637 699,54:7e:23:41:03:ef,179.12.244.118,RO48YSOB5399909518544184,2025-06-22 22:40:03,23893,0,667,1810526,030d8a65-08d4-46de-875b-fb946a37530c
Marian Florea,marianflorea,marianflorea@email.ro,1340623392294,1962-01-15,"Aleea Dochioiu Nr. 11, Radauti, 694203",0728 605 788,d8:59:27:dd:df:58,47.251.18.68,RO86KDPB6996963680859697,2025-06-22 22:40:03,21807,579,496,715619,062f5ba2-b4c7-4422-a998-282698f041c9
Sorina Tudor,sorinatudor,sorinatudor@gmail.com,6510813126936,1930-05-12,"Strada Niță, Mioveni, 236938",0744 155 234,60:51:62:be:be:2b,166.105.204.3,RO11YORQ8270425967728708,2025-06-22 22:40:03,16528,674,777,635585,2b8d543a-9ed0-4bc7-949c-68249fed2ca1
Aurelia Niță,aurelianiță,aurelianiță@email.ro,7600922516407,1993-09-11,"Intrarea Eftimie, Simleu Silvaniei, 764020",0267 577 156,de:f9:ec:b0:e7:38,25.194.204.149,RO37BJBM3148971214448235,2025-06-22 22:40:03,21009,291,161,650684,a8a760df-bfa6-4721-a217-47678709bc9c
Răzvan Stănescu,răzvanstănescu,răzvanstănescu@acasa.ro,3010827191031,1962-11-17,"Drumul Stan Nr. 874 Bl. 72  Sc. 74 Ap. 455, Floresti, 350245",0769 778 487,10:ca:7a:ca:42:58,206.86.116.94,RO55NYKF6747486886557679,2025-06-22 22:40:03,23550,414,0,1951753,78069ba5-4edb-4a98-b2b7-ad6132b63a5e
Stancu Preda,stancupreda,stancupreda@kappa.ro,3450126252432,2005-09-06,"Soseaua Ioan Tomescu, Ramnicu Sarat, 364329",0232 579 515,8c:d5:5d:24:cb:26,15.48.17.209,RO27KZMC5402130149762982,2025-06-22 22:40:03,26582,32,572,113194,aedbb2d6-0f77-4a42-b0e7-bdbffd6f4f7e
Cipriana Diaconescu,ciprianadiaconescu,ciprianadiaconescu@kappa.ro,2440105458746,1985-07-25,"Soseaua Gabi Nistor Nr. 59, Cumpana, 503994",0769 298 348,a4:cb:23:a0:52:31,223.21.136.117,RO92OJGF6743290999858005,2025-06-22 22:40:03,32623,694,108,415701,a88b3dcc-befa-43f0-8ff6-ce9a8deeb207
Simi Niță,siminiță,siminiță@post.ro,7651016249941,1957-05-06,"Strada Pușcașu Nr. 73 Bl. 20  Sc. 94 Ap. 301, Rucar, 271147",0740 076 250,38:92:b3:6e:53:0e,183.184.80.226,RO26DKTT6420345647704905,2025-06-22 22:40:03,24465,116,704,304374,dd2cecd5-a6f2-4eab-a92d-a9400d6aa469
Sofia Marin,sofiamarin,sofiamarin@post.ro,1920615238037,1945-10-27,"Aleea Nistor, Brad, 462114",0233 568 369,74:02:8c:97:58:8c,200.19.38.242,RO80YQAQ8485331058587227,2025-06-22 22:40:03,1694,558,19,1645338,aa9281ce-9740-4bb6-a262-94cd27857ad9
Camil Stancu,camilstancu,camilstancu@acasa.ro,4030305321912,1921-04-07,"Drumul Dumitrescu Nr. 89 Bl. 18  Sc. 43 Ap. 349, Reghin, 956316",0721 995 390,64:aa:bb:ac:cf:37,125.253.240.209,RO02ZBHD0934951492583593,2025-06-22 22:40:03,16948,262,356,1124666,3cdc42af-6bc6-4c01-a6e3-9988551c9863
Dorina Dima,dorinadima,dorinadima@kappa.ro,6921003239917,1949-03-24,"Strada Mocanu Nr. 246, Adjud, 196336",0240 808 086,48:d0:8c:0c:54:3d,61.26.24.79,RO89RCZM8608582325980231,2025-06-22 22:40:03,26867,985,388,161627,d1e4f650-f72a-4d21-abe2-e52e87212a25
Lazăr Dima,lazărdima,lazărdima@gmail.com,7610520170856,1957-06-04,"Intrarea Norbert Ardelean Nr. 563 Bl. 20  Sc. 45 Ap. 103, Valea Mare (Babeni), 525358",0252 485 511,22:12:fd:e2:63:e8,111.150.95.249,RO17UHVQ8263796151480118,2025-06-22 22:40:03,12845,88,20,1756734,5c602803-e054-4cb4-aac5-408d029dafbb
Vlad Diaconu,vladdiaconu,vladdiaconu@141.ro,7510706391700,1987-02-07,"Aleea Tinca Pușcașu, Straja, 509314",0236 170 358,48:b5:40:b7:fb:a9,195.32.249.97,RO20CBON5499035727848048,2025-06-22 22:40:03,26733,325,149,676196,1901db1c-5178-44f8-8834-7e86c24af612
Eugenia Nemeș,eugenianemeș,eugenianemeș@zzup.ro,3970703059816,1997-10-03,"Bulevardul Tabacu Nr. 343 Bl. 39  Sc. 69 Ap. 217, Moisei, 170529",0745 357 125,92:a2:18:ff:b3:db,10.52.154.101,RO05CAZA4141947745693631,2025-06-22 22:40:03,7301,483,234,1581996,9d0b340f-9773-4749-b8ac-6c4063b37f90
Heracleea Tudor,heracleeatudor,heracleeatudor@post.ro,7340104436799,1947-10-20,"Intrarea Stan Nr. 526 Bl. 52  Sc. 35 Ap. 853, Deta, 733163",0256 799 479,7a:43:6b:cf:21:75,9.96.8.111,RO81RGAX6012529365322568,2025-06-22 22:40:03,30961,409,798,1508717,d82f49dd-e684-45d1-8b83-2e08cc153731
